32775,446.98
32776,274.312
32777,249.574
32778,271.965
32788,220.379
32789,256.042
32841,250.176
32881,279.329
32997,274.961
33048,425.445
33051,353.013
33063,371.782
33067,250.524
33069,173.016
33070,237.699
33073,518.471
33074,324.86
33075,236.825
33077,304.134
33078,304.141
33079,343.676
33094,257.297
33095,429.838
33096,914.484
33099,202.746
33100,246.947
33106,377.416
33108,280.564
33109,336.404
33110,310.811
33111,377.416
33112,303.618
33113,206.464
33114,293.909
33115,374.052
33116,245.008
33117,245.042
33118,350.005
33119,372.291
33120,325.035
33122,352.209
33132,273.544
33133,292.662
33134,315.726
33140,415.165
33153,218.773
33155,244.703
33156,331.855
33157,314.551
33158,188.45
33159,250.102
33160,461.012
33161,331.855
33162,307.228
33163,370.227
33164,235.335
33172,360.395
33180,408.697
33181,333.02
33182,348.784
33184,298.11
33186,238.147
33192,257.722
33194,387.316
33195,336.306
33234,551.784
33235,314.696
33237,1111.201
33238,416.215
33246,171.394
33248,823.261
33545,517.855
33547,322.31
33562,380.625
33566,279.342
33575,451.678
33577,418.393
33589,351.001
33629,319.219
33635,136.177
33636,277.985
564499,2029.692
564595,1096.024
565025,2346.039
565026,1366.484
565027,408.191
565028,748.165
565029,827.782
565030,563.028
565031,577.898
565033,1322.606
565034,861.984
565035,408.191
565036,896.784
565037,758.891
565041,1463.873
565042,314.878
565043,914.185
565044,1531.77
565045,647.035
565046,640.069
565047,1649.266
565048,471.047
565051,207.063
565052,213.456
565334,441.38
565350,479.381
565352,410.235
565354,390.133
565355,410.945
565356,222.139
565360,305.446
565365,225.317
565366,206.318
565367,217.036
565368,243.603
565369,305.403
565370,275.818
565371,327.673
565378,369.398
565379,342.947
565380,333.526
565381,488.2
565382,273.544
565383,346.109
565393,304.091
565395,229.318
565396,362.901
565397,500.165
565402,319.828
565403,312.936
565407,276.215
565408,347.267
565410,426.453
565412,469.928
565414,338.218
565415,417.148
565416,408.922
565419,411.603
565420,274.312
565424,512.331
565427,424.217
565430,309.245
565431,341.048
565433,644.516
565435,403.579
565436,302.3
565438,311.241
565440,267.646
565442,344.598
565445,292.879
565448,238.361
565450,211.509
565454,418.393
565455,302.585
565456,350.993
565457,279.687
565458,404.629
565459,320.208
565461,303.439
565463,303.293
565464,425.147
565466,634.768
565468,434.346
565471,465.08
565472,465.08
565473,333.209
565477,219.368
565478,497.307
565479,323.573
565480,402.472
565481,353.756
565482,303.416
565486,326.073
565487,500.513
565488,405.263
565489,307.03
565490,338.328
565491,403.571
565492,416.655
565494,375.721
565496,311.352
565497,353.756
565498,432.111
565501,354.19
565505,280.376
565506,353.232
565508,386.569
565509,505.151
565510,418.972
565512,478.58
565513,403.681
565514,474.278
565516,338.444
565520,534.208
565521,357.16
565522,534.74
565523,252.05
565524,411.899
565525,418.16
565526,306.03
565527,457.652
565529,464.81
565531,417.574
